"Authors","DOI","DataSourceType","FeatureName","Latitude","Longitude","FeatureType","FeatureCategory","ThawType","Imagery","ImageryDates","ImageryResolution_meters"
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Jeremy",67.96441,-157.5353,"Active layer detachment","Active layer detachment","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Cloud Hole",68.2866,-157.364,"Active layer detachment","Active layer detachment","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Dark bear slide",68.19296,-159.54671,"Active layer detachment","Active layer detachment","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Flinn's fork WT",68.29851,-157.22738,"Active layer detachment","Active layer detachment","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Fresh Prince",68.04806,-158.83439,"Active layer detachment","Active layer detachment","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Kink",67.67239,-161.39081,"Active layer detachment","Active layer detachment","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Tommy's Tongue",68.0469,-158.86316,"Active layer detachment","Active layer detachment","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Valley of the TK ALD0",68.960351,-150.639683,"Active layer detachment","Active layer detachment","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Valley of the TK ALD1",68.959438,-150.65629,"Active layer detachment","Active layer detachment","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Valley of the TK ALD2",68.959054,-150.661716,"Active layer detachment","Active layer detachment","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Valley of the TK ALD3",68.958551,-150.670385,"Active layer detachment","Active layer detachment","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Alex's Tongue",68.4704,-149.3435,"Active layer detachment","Active layer detachment","Abrupt","","",""
"Abbott & Jones (2020)","https://doi.org/10.18739/A23T9D71C","Field - published","Big muddy WT",67.8592,-161.32561,"Active layer detachment","Active layer detachment","Abrupt","","",""
