Authors,DOI,Latitude,Longitude,Thaw Type (abrupt vs gradual),Feature Type,Site Name
Abbott & Jones 2020,doi:10.18739/A23T9D71C,67.96441,-157.5353,Abrupt,ALD,"Active layer detachment slide (ALD), thermo-erosion gully (GLY), retrogressive thaw slump (TS)"
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.2866,-157.364,Abrupt,ALD,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.19296,-159.54671,Abrupt,ALD,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.29851,-157.22738,Abrupt,ALD,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.04806,-158.83439,Abrupt,ALD,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,67.67239,-161.39081,Abrupt,ALD,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.0469,-158.86316,Abrupt,ALD,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.960351,-150.639683,Abrupt,ALD,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.959438,-150.65629,Abrupt,ALD,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.959054,-150.661716,Abrupt,ALD,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.958551,-150.670385,Abrupt,ALD,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.4704,-149.3435,Abrupt,ALD,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,67.8592,-161.32561,Abrupt,ALD,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.2825,-157.05268,Abrupt,ALD,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,67.98202,-157.07449,Abrupt,ALD,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,67.92794,-161.42398,Abrupt,ALD,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.26322,-157.72916,Abrupt,ALD,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.262574,-157.705669,Abrupt,ALD,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.269757,-157.678884,Abrupt,ALD,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.26731,-157.47039,Abrupt,ALD,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.26634,-157.4737,Abrupt,ALD,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,67.73215,-161.42069,Abrupt,ALD,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.77053,-149.46891,Abrupt,GLY,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.68241,-149.624324,Abrupt,GLY,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.15794,-156.95082,Abrupt,GLY,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.1589,-156.9533,Abrupt,GLY,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.5524,-149.5652,Abrupt,GLY,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.5527,-149.56625,Abrupt,GLY,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.552613,-149.573159,Abrupt,GLY,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.55334,-149.56092,Abrupt,GLY,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.55257,-149.57176,Abrupt,GLY,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.5541,-149.5577,Abrupt,GLY,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,69.2278,-150.5534,Abrupt,GLY,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.5435,-149.5225,Abrupt,GLY,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.5442,-149.5214,Abrupt,GLY,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.6523,-149.4202,Abrupt,GLY,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.6515,-149.4223,Abrupt,GLY,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.03759,-159.28887,Abrupt,GLY,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.69149,-149.182604,Abrupt,GLY,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.691239,-149.180916,Abrupt,GLY,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.6906,-149.1922,Abrupt,GLY,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.87148,-149.57809,Abrupt,GLY,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.5875,-149.7942,Abrupt,GLY,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.6192,-149.4251,Abrupt,GLY,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.7223,-149.7505,Abrupt,GLY,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.6911,-149.2084,Abrupt,GLY,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.6923,-149.2067,Abrupt,GLY,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.04614,-158.86201,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.555298,-149.574893,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.03301,-157.73651,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.683761,-149.626836,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.683118,-149.625378,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.9514,-150.1943,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.507251,-149.596189,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.508107,-149.575256,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,67.928,-161.96455,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,67.9284,-161.9616,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,67.94373,-162.35535,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,67.94316,-162.35416,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.9614,-150.3154,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.06579,-158.91894,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.5554,-149.5747,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.5537,-149.5588,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.554682,-149.575954,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.08454,-158.02721,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.677901,-149.623493,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.678454,-149.62639,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.678195,-149.628724,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.08844,-158.0413,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.01936,-159.2421,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.525019,-149.543817,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.523239,-149.532094,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.525644,-149.544049,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.526061,-149.54319,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.525019,-149.539186,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.985503,-150.717242,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.04517,-158.80459,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.963423,-150.732598,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.882584,-150.575489,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.875634,-150.546675,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.6666,-149.8188,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.667799,-149.819846,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,67.86232,-157.52834,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,67.87618,-157.53116,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,66.497011,-157.60838,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,69.5683,-150.8701,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.527,-149.511,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.05297,-158.579,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,67.962,-156.7889,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,67.96171,-156.79151,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,67.9619,-156.792,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,67.90087,-156.48305,Abrupt,TS,NA
Anderson et al. 2019,https://doi.org/10.3389/feart.2019.00053,66.089,-146.73,NA,Thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.87147,-149.57768,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.87148,-149.57768,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.67904,-149.6232,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.54337,-149.5226,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.54345,-149.52273,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.52534,-149.54644,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.5251,-149.53815,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.50268,-149.58901,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.50806,-149.57433,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.51121,-149.58395,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.6936,-149.2043,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.69177,-149.20751,Abrupt,thermokarst,NA
