Latitude,Longitude,Type
60.5210197031926,-161.084683964,0
60.52305556,-161.0927778,1
60.9091005041993,-142.909030873,0
61.07861,-142.46121,1
61.10247,-142.77182,1
61.11389,-142.64652,1
61.13315,-142.7954,1
61.1493855552035,-143.284172322,0
61.15377,-143.28619,1
61.178056266204,-144.331407108,0
61.18542,-142.97318,1
61.20324,-142.28158,1
61.20628,-142.29061,1
61.20631,-142.96539,1
61.20634,-142.9703,1
61.2082932452045,-143.691239679,0
61.20911,-143.6821,1
61.21087,-143.03446,1
61.22406,-142.99266,1
61.23235,-143.03755,1
61.23703649,-165.5018472,1
61.23794221,-165.4870523,1
61.23874,-142.98692,1
61.23910776,-165.4849681,1
61.24398,-143.93329,1
61.2448217472052,-143.942436851,0
61.25009,-143.05306,1
61.25043068,-165.5019622,1
61.25489588,-165.4984854,1
61.25494704,-165.497648,1
61.26884,-143.24834,1
61.31919,-142.80755,1
61.32873,-142.96553,1
61.33428,-142.78461,1
61.33473,-143.01364,1
61.33651,-143.10241,1
61.34324,-143.45918,1
61.34633,-143.09568,1
61.3484,-143.63027,1
61.3527,-142.60397,1
61.35293,-143.1256,1
61.35329,-143.65334,1
61.36196,-143.43164,1
61.36579,-143.44451,1
61.3712,-143.56066,1
61.37175,-143.59205,1
61.37205,-143.70967,1
61.39033,-142.57216,1
61.39196,-142.56572,1
61.39765,-143.69435,1
61.40197,-143.75842,1
61.40424,-143.79688,1
61.41379,-143.74713,1
61.42905,-144.06814,1
61.43717,-144.05317,1
61.45682,-143.79789,1
61.45766,-143.79613,1
61.46044,-143.81091,1
61.46329,-143.80787,1
61.46706,-143.91372,1
61.4677,-143.92402,1
61.47189,-143.82464,1
61.47318,-144.00236,1
61.47589,-143.97422,1
61.47759,-144.02459,1
62.1669,-145.4707,0
62.26365,-143.37866,1
62.27224,-142.9565,1
62.2798,-141.16929,1
62.28529,-141.17936,1
62.2921,-142.96188,1
62.33625,-142.95524,1
62.4,-142.7,1
62.4009,-145.1575,0
62.40652,-143.72541,1
62.40741,-143.72863,1
62.41226,-142.89681,1
62.41401,-143.72003,1
62.42918,-141.35901,1
62.43088,-143.59217,1
62.43142,-141.3408,1
62.43263,-141.34193,1
62.4329,-141.35612,1
62.43363,-141.36637,1
62.43549,-141.35594,1
62.43746,-143.61857,1
62.4406,-143.70223,1
62.44968,-142.76739,1
62.45853,-143.47318,1
62.46528,-143.67173,1
62.46688,-143.49863,1
62.46918,-143.49355,1
62.4728,-143.47372,1
62.47779,-143.40033,1
62.47864,-142.58703,1
62.48357,-143.53441,1
62.50438,-143.39375,1
62.50535,-143.5378,1
62.51235,-143.41006,1
62.51444,-143.51153,1
62.51841,-143.68453,1
62.522,-143.50365,1
62.52378,-143.32538,1
62.52761,-143.48237,1
62.52775,-143.27122,1
62.52801,-143.48347,1
62.52987,-143.26826,1
62.53081,-143.51817,1
62.53465,-143.27652,1
62.53565,-143.09488,1
62.53673,-142.90252,1
62.54276,-143.45456,1
62.54383,-143.39845,1
62.54673,-143.46978,1
62.54778,-143.00223,1
62.5508,-143.40544,1
62.55277,-143.01453,1
62.55627,-143.40807,1
62.55647,-143.41606,1
62.55668,-143.37523,1
62.55771,-143.85325,1
62.55955,-143.36349,1
62.55957,-143.29232,1
62.56082,-143.36624,1
62.56157,-143.41578,1
62.56179,-143.37013,1
62.56192,-143.37382,1
62.56338,-143.40518,1
62.56673,-144.27722,1
62.56762,-143.45412,1
62.56991,-143.45401,1
62.60555,-143.88985,1
62.60571,-143.87192,1
62.60914,-144.4467,1
62.61484,-144.13758,1
62.6168,-144.11132,1
62.62018,-144.29416,1
62.62555,-143.68156,1
62.62914,-144.32783,1
62.63497,-143.89567,1
62.64468,-143.87455,1
62.64718,-143.92644,1
62.85,-143.68,1
63.0,-142.0,1
63.02,-142.12,1
63.03938,-152.01961,1
63.05137,-152.10093,1
63.05232,-152.10114,1
63.06898,-151.95877,1
63.07034,-151.95994,1
63.07358,-152.05961,1
63.07402,-152.05889,1
63.07513,-152.04335,1
63.08963,-151.99609,1
63.09783,-151.81286,1
63.10018,-151.82705,1
63.11555,-151.97726,1
63.11693,-152.0156,1
63.12597,-151.93882,1
63.13717,-151.93861,1
63.15021,-151.65775,1
63.15436,-151.95534,1
63.18555,-152.0662,1
63.19454,-151.86848,1
63.19701,-152.05398,1
63.20816,-151.80068,1
63.24089,-151.55937,1
63.24372,-151.54594,1
63.28183,-151.62925,1
63.3042,-151.66358,1
63.31434,-151.98322,1
63.33741,-150.74909,1
63.35152,-150.94169,1
63.35687,-151.22995,1
63.35845,-151.13305,1
63.3606,-150.87909,1
63.36089,-150.85434,1
63.36096,-150.88053,1
63.36782,-151.81783,1
63.37039,-152.79568,1
63.37259,-150.73009,1
63.37402,-151.1796,1
63.37956,-150.91776,1
63.37978,-152.74474,1
63.38278,-151.25952,1
63.38422,-151.22503,1
63.39916,-152.76088,1
63.4043101992456,-151.587723465,0
63.40846,-152.61903,1
63.40847,-152.61965,1
63.409,-151.58797,1
63.4157,-151.33732,1
63.43148,-152.55992,1
63.44214,-150.64223,1
63.44227,-150.64432,1
63.44268,-150.59038,1
63.44346,-150.67882,1
63.4435,-150.59729,1
63.44373,-150.60431,1
63.44409,-150.66137,1
63.44425,-150.93834,1
63.44701,-152.4082,1
63.44731,-150.73868,1
63.44746,-150.98916,1
63.44751,-150.74374,1
63.44817,-150.76091,1
63.44821,-150.7509,1
63.44838,-150.76238,1
63.44907,-150.7659,1
63.45573,-150.74858,1
63.45942,-150.76878,1
63.4617734422467,-152.550455837,0
63.46305,-152.5599,1
63.46427,-152.24561,1
63.46577,-152.57054,1
63.47385,-152.20626,1
63.47605,-150.84348,1
63.47906,-150.84029,1
63.48044,-150.83969,1
63.4814,-152.24559,1
63.48649,-150.85021,1
63.48709,-152.09988,1
63.48824,-150.8668,1
63.50162,-152.04649,1
63.51405,-151.98936,1
63.51529,-152.57628,1
63.5214447142479,-152.709509136,0
63.52321,-152.65752,1
63.52343,-152.71858,1
63.52347,-152.54062,1
63.5239,-152.55864,1
63.5262554642481,-152.566866659,0
63.531,-152.38259,1
63.54045,-152.2456,1
