feature_i,feature_j,interaction_strength,index_i,index_j
Nitrogen (0-30 cm),Silt (0-30 cm),0.124314174,39,45
Slope,Trend in SWE,0.10611534,1,12
Temperature Seasonality,Trend in SWE,0.08200165,5,12
Slope,Mean curvature (500 m),0.078311026,1,3
Flammability Index,Trend in SWE,0.07005165,9,12
Mean curvature (500 m),Trend in SWE,0.057137,3,12
Slope,Silt (0-30 cm),0.04841635,1,45
Mean Annual SWE,Land Cover (Open Water),0.04695488,11,17
Slope,Nitrogen (0-30 cm),0.04629409,1,39
Trend in SWE,Clay (0-30 cm),0.044105235,12,47
Trend in SWE,Land Cover (Open Water),0.042902336,12,17
Mean Annual SWE,Trend in SWE,0.04198459,11,12
Slope,Temperature Seasonality,0.04124559,1,5
Temperature Seasonality,Mean Annual SWE,0.040737044,5,11
Trend in SWE,Soil Organic Carbon (0-30 cm),0.036133587,12,37
Slope,Mean Annual SWE,0.035631385,1,11
Land Cover (Open Water),Nitrogen (0-30 cm),0.035468195,17,39
Trend in SWE,Nitrogen (0-30 cm),0.033600662,12,39
Annual Precipitation,Nitrogen (0-30 cm),0.031194283,7,39
Annual Precipitation,Mean Annual SWE,0.030423073,7,11
Slope,Sand (0-30 cm),0.029631412,1,43
Slope,Land Cover (Open Water),0.029350478,1,17
Slope,Silt (30-200 cm),0.028200896,1,46
Mean curvature (500 m),Land Cover (Open Water),0.027961554,3,17
Soil Organic Carbon (0-30 cm),Soil Organic Carbon (30-200 cm),0.026762705,37,38
Mean curvature (500 m),Mean Annual SWE,0.026459493,3,11
Slope,Vegetation Mode (Graminoid tundra),0.02635044,1,32
Trend in SWE,Vegetation Mode (Graminoid tundra),0.026078843,12,32
Mean Annual SWE,Nitrogen (0-30 cm),0.025951777,11,39
Slope,Annual Precipitation,0.024149401,1,7
Temperature Annual Range,Trend in SWE,0.023796383,6,12
Mean curvature (500 m),Nitrogen (0-30 cm),0.023745101,3,39
Aspect,Soil Organic Carbon (0-30 cm),0.023671728,2,37
Mean curvature (500 m),Mean curvature (2 km),0.023265678,3,4
Temperature Seasonality,Land Cover (Open Water),0.02318247,5,17
Slope,Flammability Index,0.023160504,1,9
Mean curvature (500 m),Annual Precipitation,0.02296137,3,7
Land Cover (Open Water),Land Cover (Emergent Herbaceous Wetlands),0.022583375,17,21
Annual Precipitation,Trend in SWE,0.021371648,7,12
Soil Organic Carbon (0-30 cm),Nitrogen (30-200 cm),0.021303168,37,40
Mean Annual SWE,Land Cover (Emergent Herbaceous Wetlands),0.021219833,11,21
Soil Organic Carbon (30-200 cm),Nitrogen (30-200 cm),0.020927152,38,40
Soil Organic Carbon (0-30 cm),Nitrogen (0-30 cm),0.020867143,37,39
Slope,Bulk Density (0-30 cm),0.020192523,1,41
Mean curvature (500 m),Silt (0-30 cm),0.02000137,3,45
Soil Organic Carbon (0-30 cm),Silt (0-30 cm),0.019826842,37,45
Land Cover (Open Water),Clay (30-200 cm),0.019800376,17,48
Mean curvature (2 km),Trend in SWE,0.019087385,4,12
Mean Annual SWE,Projected precipitation change,0.019051813,11,13
Slope,Clay (0-30 cm),0.018973574,1,47
Trend in SWE,Silt (0-30 cm),0.018818628,12,45
Silt (30-200 cm),Clay (30-200 cm),0.018548094,46,48
Annual Precipitation,Flammability Index,0.018134413,7,9
Mean curvature (2 km),Clay (30-200 cm),0.018040199,4,48
Mean curvature (2 km),Mean Annual SWE,0.01767901,4,11
Slope,Nitrogen (30-200 cm),0.017366236,1,40
Aspect,Trend in SWE,0.017132819,2,12
Elevation,Mean curvature (500 m),0.016694468,0,3
Aspect,Clay (0-30 cm),0.016522072,2,47
Slope,Soil Organic Carbon (0-30 cm),0.016235705,1,37
Soil Organic Carbon (30-200 cm),Nitrogen (0-30 cm),0.016211638,38,39
Elevation,Silt (0-30 cm),0.016073737,0,45
Projected precipitation change,Soil Organic Carbon (0-30 cm),0.015325398,13,37
Elevation,Trend in SWE,0.015210601,0,12
Land Cover (Open Water),Silt (0-30 cm),0.015154771,17,45
Trend in SWE,Bulk Density (0-30 cm),0.015081002,12,41
Aspect,Mean curvature (2 km),0.015049421,2,4
Slope,Mean curvature (2 km),0.015017739,1,4
Elevation,Slope,0.0148592135,0,1
Temperature Seasonality,Flammability Index,0.014680103,5,9
Annual Precipitation,Land Cover (Open Water),0.014310167,7,17
Mean curvature (500 m),Flammability Index,0.014237048,3,9
Temperature Seasonality,Soil Organic Carbon (30-200 cm),0.014101441,5,38
Trend in SWE,Soil Organic Carbon (30-200 cm),0.013876616,12,38
Mean curvature (500 m),Projected precipitation change,0.013623268,3,13
Slope,Sand (30-200 cm),0.013431214,1,44
Slope,Land Cover (Emergent Herbaceous Wetlands),0.01335542,1,21
Nitrogen (30-200 cm),Silt (0-30 cm),0.013235904,40,45
Flammability Index,Nitrogen (0-30 cm),0.012927331,9,39
Mean curvature (500 m),Bulk Density (0-30 cm),0.012631546,3,41
Aspect,Temperature Seasonality,0.01232944,2,5
Soil Organic Carbon (0-30 cm),Bulk Density (0-30 cm),0.012257055,37,41
Aspect,Bulk Density (0-30 cm),0.011976001,2,41
Land Cover (Open Water),Clay (0-30 cm),0.011955081,17,47
Projected precipitation change,Nitrogen (0-30 cm),0.011811829,13,39
Silt (0-30 cm),Clay (30-200 cm),0.011806108,45,48
Slope,Temperature Annual Range,0.011625364,1,6
Annual Precipitation,Projected precipitation change,0.0115828365,7,13
Sand (30-200 cm),Silt (0-30 cm),0.011496401,44,45
Flammability Index,Land Cover (Open Water),0.011492082,9,17
Mean Annual SWE,Silt (0-30 cm),0.011403201,11,45
Mean Annual SWE,Soil Organic Carbon (0-30 cm),0.011275606,11,37
Mean curvature (500 m),Clay (0-30 cm),0.011090942,3,47
Flammability Index,Mean Annual SWE,0.011000599,9,11
Elevation,Nitrogen (0-30 cm),0.010983548,0,39
Nitrogen (0-30 cm),Sand (0-30 cm),0.010888825,39,43
Temperature Annual Range,Flammability Index,0.010865194,6,9
Nitrogen (0-30 cm),Nitrogen (30-200 cm),0.010861585,39,40
Aspect,Clay (30-200 cm),0.0108190905,2,48
Slope,Aspect,0.010782814,1,2
Elevation,Temperature Seasonality,0.010725741,0,5
Mean curvature (2 km),Nitrogen (0-30 cm),0.010561248,4,39
Trend in SWE,Silt (30-200 cm),0.010552315,12,46
Soil Organic Carbon (0-30 cm),Clay (30-200 cm),0.010550788,37,48
Mean curvature (2 km),Clay (0-30 cm),0.010514856,4,47
Nitrogen (0-30 cm),Silt (30-200 cm),0.010435795,39,46
Annual Precipitation,Clay (30-200 cm),0.010395714,7,48
Mean curvature (500 m),Temperature Seasonality,0.010392931,3,5
Slope,Projected precipitation change,0.010375161,1,13
Temperature Seasonality,Silt (0-30 cm),0.010359072,5,45
Temperature Seasonality,Soil Organic Carbon (0-30 cm),0.010240437,5,37
Temperature Annual Range,Land Cover (Open Water),0.010205452,6,17
Mean Annual SWE,Clay (0-30 cm),0.010000898,11,47
Aspect,Nitrogen (0-30 cm),0.009908541,2,39
Mean Annual SWE,Nitrogen (30-200 cm),0.009766118,11,40
Aspect,Mean curvature (500 m),0.00970527,2,3
Temperature Annual Range,Nitrogen (0-30 cm),0.009655351,6,39
Soil Organic Carbon (30-200 cm),Bulk Density (0-30 cm),0.009520898,38,41
Mean curvature (500 m),Soil Organic Carbon (0-30 cm),0.009491603,3,37
